trade_date,rows,finite_predictions,nonfinite_predictions,finite_labels,ic_rows,return_eligible_rows,turnover_eligible_rows,return_top_count,return_bottom_count,turnover_top_count,rank_ic,top_return,top_excess,top_bottom_spread,turnover
20220104,4650,4170,480,4174,4169,4054,4055,406,405,406,0.29140151161578859,-0.010838098226744371,0.0035706141519717925,0.020469448128088423,
20220105,4650,4174,476,4174,4173,4108,4109,411,410,411,-0.21470771128049326,-0.0025177443324457204,-0.011348338425999662,-0.016205923384804092,0.91500664010624166
20220106,4650,4174,476,4176,4174,4078,4078,408,407,408,-0.033944183875484313,-0.020494940917887509,-0.0045564785909761839,0.00023233940686717344,0.95134443021766968
20220107,4650,4176,474,4177,4174,4127,4129,413,412,413,-0.069817333958618819,0.0083610209589014151,1.2550383835753173e-05,-0.00034403959514260618,0.92819843342036557
20220110,4650,4177,473,4178,4177,4094,4094,410,409,410,0.064405827628012377,-0.0076517118883744186,-0.0034606639225975254,0.0067426404772791227,0.92838541666666663
20220111,4650,4178,472,4181,4178,4112,4112,412,411,412,-0.19512206778582311,0.005552847463803484,-0.0076015747986964812,-0.01455535052116649,0.92829204693611478
20220112,4650,4181,469,4179,4179,4077,4079,408,407,408,-0.0015197338644434323,-0.012096477706846626,-0.0027966720948249448,0.0039764633021011925,0.94465894465894462
20220113,4650,4179,471,4180,4177,4114,4116,412,411,412,-0.23474617191294486,-0.0065760419116116572,-0.00014067986697139951,-0.015104654230528518,0.93919793014230268
20220114,4650,4180,470,4178,4177,4101,4103,411,410,411,0.019210434764148718,0.012338215945318538,-0.002306797200142062,0.0016394140684749797,0.9255874673629243
20220117,4650,4178,472,4182,4178,4065,4065,407,406,407,-0.061884427252957321,-0.013376827816086304,-0.00049975730848414099,0.0088374600415400649,0.92791612057667106
20220118,4650,4182,468,4184,4181,4123,4124,413,412,413,-0.19788726007662724,-0.0041701691141520208,-0.0054758977495864593,-0.010247472940446853,0.92529488859764086
20220119,4650,4184,466,4182,4182,4116,4118,412,411,412,-0.048263631012324476,-0.028350111251663149,-0.0042055764888209828,-0.0012652672167943781,0.93685567010309279
20220120,4650,4182,468,4185,4182,4135,4135,414,413,414,-0.14935960010299901,-0.022655160203355673,-0.01170181239100314,-0.0098074691698725736,0.94910941475826971
20220121,4650,4185,465,4184,4184,4126,4127,413,412,413,-0.086623810501287049,-0.0036143205938878632,-0.00050661037469922543,0.0037374637210985853,0.9356499356499357
20220124,4650,4184,466,4186,4182,4119,4121,412,411,413,0.11699655616070812,-0.036215827398189272,0.0052585372368911462,0.0098721220097666082,0.91172595520421607
20220125,4650,4186,464,4187,4185,4152,4153,416,415,416,-0.12782636768710109,-0.0025886322282655944,-0.0094966069361788058,-0.0029874282529965936,0.89613848202396806
20220126,4650,4187,463,4188,4187,4127,4127,413,412,413,0.062617511386737656,-0.03486562638813237,-0.0023586167819870524,0.011674356722254961,0.93854033290653005
20220127,4650,4188,462,4192,4188,4171,4171,418,417,418,-0.21091197164701125,0.0039596637519344665,-0.0090390310360705592,-0.013286646044784875,0.9427480916030534
20220128,4650,4192,458,4194,4189,4125,4128,413,412,413,-0.14593775549013721,0.0072175640640303618,-0.0081373342245228981,-0.013275428310405476,0.97407407407407409
20220207,4650,4194,456,4195,4192,4084,4084,409,408,409,0.027896338144434759,0.018092486946360401,0.0029181343393522227,0.0036877264256272475,0.95685279187817263
20220208,4650,4195,455,4196,4195,4102,4102,411,410,411,-0.064697033299041556,0.015487507637948039,0.0011849349174117927,-0.0023727296850452537,0.92388451443569553
20220209,4650,4196,454,4186,4185,4069,4080,407,406,408,-0.12016078888687345,-0.00559451744037815,-0.0032244896441570984,-0.004046050543272825,0.92236842105263162
20220210,4650,4186,464,4187,4186,4119,4119,412,411,412,0.2729890721872858,-0.016122125577322684,0.0035154826086670025,0.011930753229232968,0.93919793014230268
20220211,4650,4187,463,4198,4186,4130,4130,413,413,413,-0.22013736547074547,-0.011533518981289967,-0.012096288808381208,-0.016876683378002501,0.91447368421052633
20220214,4650,4198,452,4199,4197,4105,4106,411,410,411,-0.04592050952367794,-0.0014052981772954361,-0.005437383560814503,-0.0036708421645680386,0.93814432989690721
20220215,4650,4199,451,4200,4198,4131,4132,414,413,414,-0.16129118391995961,0.0042151434839979166,-0.0082719230465751956,-0.0091340983134097255,0.93685567010309279
20220216,4650,4200,450,4200,4200,4121,4121,413,412,413,-0.051784381876381125,-0.0049574241131095185,-0.0018443602609931374,-0.0043393356619731279,0.93838254172015401
20220217,4650,4200,450,4202,4200,4149,4149,415,414,415,-0.27320030281312085,-0.0041988825222137047,-0.012004839233983319,-0.017305677413824182,0.93436293436293438
