trade_date,eligible_rows,top_rows,missing_eligible,missing_top,largest_equal_prediction_group,cutoff_tie_group,cutoff_tie_selected,boundary_splits_tie
20230103,4540,454,368,0,365,1,1,False
20230104,4588,458,366,150,364,364,150,True
20230105,4600,460,367,0,364,1,1,False
20230106,4615,461,370,0,365,1,1,False
20230109,4608,460,370,0,366,1,1,False
20230110,4612,461,366,0,365,1,1,False
20230111,4620,462,369,0,365,1,1,False
20230112,4611,461,369,0,368,1,1,False
20230113,4616,461,369,0,367,1,1,False
20230116,4604,460,369,0,367,1,1,False
20230117,4614,461,370,1,368,1,1,False
20230118,4613,461,372,0,369,1,1,False
20230119,4619,461,371,0,371,1,1,False
20230120,4621,462,372,0,370,1,1,False
20230130,4560,456,374,0,371,1,1,False
20230131,4604,460,375,0,372,1,1,False
20230201,4578,457,374,319,372,372,319,True
20230202,4601,460,374,0,370,1,1,False
20230203,4613,461,374,300,370,370,300,True
20230206,4614,461,372,0,369,1,1,False
20230207,4606,460,373,0,367,1,1,False
20230208,4618,461,372,0,369,1,1,False
20230209,4619,461,371,0,368,1,1,False
20230210,4623,462,371,161,368,368,161,True
20230213,4601,460,371,0,367,1,1,False
20230214,4622,462,371,3,367,367,3,True
20230215,4609,460,370,22,366,366,22,True
20230216,4630,463,369,146,365,365,146,True
20230217,4622,462,370,1,364,1,1,False
20230220,4612,461,368,0,365,1,1,False
20230221,4634,463,369,258,365,365,257,True
20230222,4625,462,369,0,365,1,1,False
20230223,4628,462,371,1,365,1,1,False
20230224,4633,463,372,193,366,366,193,True
20230227,4631,463,373,0,366,1,1,False
20230228,4617,461,371,17,365,365,16,True
20230301,4611,461,371,0,365,1,1,False
20230302,4622,462,370,0,365,1,1,False
20230303,4624,462,371,0,365,1,1,False
20230306,4624,462,370,165,365,365,165,True
20230307,4623,462,370,0,365,1,1,False
20230308,4615,461,371,1,365,1,1,False
20230309,4619,461,371,0,365,1,1,False
20230310,4629,462,371,0,365,1,1,False
20230313,4619,461,369,74,364,364,74,True
20230314,4632,463,369,320,364,364,320,True
20230315,4617,461,369,288,364,364,288,True
20230316,4637,463,371,237,364,364,236,True
20230317,4621,462,373,0,364,1,1,False
20230320,4627,462,373,0,364,1,1,False
20230321,4609,460,372,364,364,1,1,False
20230322,4621,462,373,1,364,1,1,False
20230323,4626,462,371,369,364,1,1,False
20230324,4622,462,370,145,364,364,145,True
20230327,4609,460,369,0,364,1,1,False
20230328,4620,462,370,0,364,1,1,False
20230329,4628,462,370,0,364,1,1,False
20230330,4631,463,372,97,364,364,96,True
20230331,4616,461,373,0,365,1,1,False
