trade_date,group_size
20180102,3370
20180103,3371
20180104,3371
20180105,3374
20180108,3374
20180109,3375
20180110,3375
20180111,3375
20180112,3375
20180115,3376
20180116,3378
20180117,3379
20180118,3380
20180119,3381
20180122,3382
20180123,3382
20180124,3383
20180125,3384
20180126,3384
20180129,3384
20180130,3384
20180131,3385
20180201,3387
20180202,3388
20180205,3389
20180206,3391
20180207,3391
20180208,3393
20180209,3393
20180212,3394
20180213,3394
20180214,3394
20180222,3394
20180223,3395
20180226,3396
20180227,3397
20180228,3397
20180301,3400
20180302,3402
20180305,3402
20180306,3402
20180307,3402
20180308,3402
20180309,3402
20180312,3402
20180313,3402
20180314,3402
20180315,3402
20180316,3402
20180319,3402
20180320,3402
20180321,3402
20180322,3402
20180323,3403
20180326,3404
20180327,3404
20180328,3405
20180329,3405
20180330,3407
20180402,3407
20180403,3408
20180404,3408
20180409,3408
20180410,3409
20180411,3409
20180412,3410
20180413,3410
20180416,3410
20180417,3411
20180418,3412
20180419,3412
20180420,3413
20180423,3413
20180424,3413
20180425,3413
20180426,3414
20180427,3416
20180502,3416
20180503,3416
20180504,3416
20180507,3416
20180508,3418
20180509,3419
20180510,3419
20180511,3419
20180514,3419
20180515,3419
20180516,3420
20180517,3421
20180518,3421
20180521,3421
20180522,3421
20180523,3422
20180524,3422
20180525,3423
20180528,3424
20180529,3424
20180530,3424
20180531,3424
20180601,3424
20180604,3424
20180605,3424
20180606,3424
20180607,3424
20180608,3425
20180611,3427
20180612,3428
20180613,3429
20180614,3429
20180615,3429
20180619,3429
20180620,3430
20180621,3430
20180622,3431
20180625,3432
20180626,3432
20180627,3433
20180628,3433
20180629,3433
20180702,3433
20180703,3434
20180704,3434
20180705,3434
20180706,3434
20180709,3436
20180710,3437
20180711,3437
20180712,3437
20180713,3438
20180716,3438
20180717,3438
20180718,3438
20180719,3438
20180720,3439
20180723,3439
20180724,3439
20180725,3439
20180726,3439
20180727,3439
20180730,3440
20180731,3440
20180801,3440
20180802,3440
20180803,3440
20180806,3441
20180807,3441
20180808,3441
20180809,3441
20180810,3442
20180813,3442
20180814,3442
20180815,3442
20180816,3442
20180817,3442
20180820,3442
20180821,3442
20180822,3442
20180823,3442
20180824,3442
20180827,3443
20180828,3445
20180829,3445
20180830,3445
20180831,3446
20180903,3447
20180904,3447
20180905,3447
20180906,3447
20180907,3447
20180910,3448
20180911,3448
20180912,3449
20180913,3449
20180914,3449
20180917,3450
20180918,3451
20180919,3452
20180920,3452
20180921,3454
20180925,3455
20180926,3457
20180927,3457
20180928,3457
20181008,3457
20181009,3457
20181010,3457
20181011,3457
20181012,3457
20181015,3458
20181016,3459
20181017,3459
20181018,3459
20181019,3460
20181022,3460
20181023,3461
20181024,3461
20181025,3461
20181026,3462
20181029,3462
20181030,3462
20181031,3462
20181101,3462
20181102,3462
20181105,3462
20181106,3462
20181107,3463
20181108,3463
20181109,3464
20181112,3464
20181113,3464
20181114,3464
20181115,3465
20181116,3466
20181119,3466
20181120,3466
20181121,3466
20181122,3466
20181123,3466
20181126,3466
20181127,3466
20181128,3467
20181129,3469
20181130,3470
20181203,3470
20181204,3470
20181205,3471
20181206,3471
20181207,3471
20181210,3471
20181211,3471
20181212,3471
20181213,3472
20181214,3472
20181217,3472
20181218,3472
20181219,3472
20181220,3472
20181221,3472
20181224,3473
20181225,3473
20181226,3473
20181227,3473
20181228,3475
20190102,3475
20190103,3476
20190104,3476
20190107,3476
20190108,3478
20190109,3478
20190110,3478
20190111,3479
20190114,3479
20190115,3479
20190116,3481
20190117,3483
20190118,3484
20190121,3485
20190122,3486
20190123,3487
20190124,3487
20190125,3488
20190128,3489
20190129,3490
20190130,3491
20190131,3491
20190201,3492
20190211,3492
20190212,3492
20190213,3492
20190214,3493
20190215,3494
20190218,3495
20190219,3495
20190220,3495
20190221,3495
20190222,3497
20190225,3497
20190226,3498
20190227,3498
20190228,3498
20190301,3499
20190304,3499
20190305,3499
20190306,3499
20190307,3499
20190308,3499
20190311,3500
20190312,3500
20190313,3500
20190314,3501
20190315,3502
20190318,3502
20190319,3503
20190320,3503
20190321,3503
20190322,3504
20190325,3505
20190326,3507
20190327,3507
20190328,3508
20190329,3509
20190401,3509
20190402,3510
