trade_date,eligible_rows,top_rows,missing_eligible,missing_top,largest_equal_prediction_group,cutoff_tie_group,cutoff_tie_selected,boundary_splits_tie
20220104,4534,453,476,453,475,475,453,True
20220105,4585,458,476,458,475,475,458,True
20220106,4554,455,474,455,474,474,455,True
20220107,4601,460,473,458,471,471,458,True
20220110,4567,456,472,456,472,472,456,True
20220111,4582,458,469,458,469,469,458,True
20220112,4548,454,471,454,469,469,454,True
20220113,4586,458,470,457,468,468,457,True
20220114,4573,457,471,457,469,469,457,True
20220117,4534,453,468,453,468,468,453,True
20220118,4590,459,466,458,465,465,458,True
20220119,4584,458,468,458,466,466,458,True
20220120,4601,460,465,460,465,465,460,True
20220121,4592,459,466,452,465,465,452,True
20220124,4586,458,464,455,462,462,455,True
20220125,4615,461,463,435,462,462,435,True
20220126,4589,458,462,452,462,462,452,True
20220127,4632,463,458,441,458,458,441,True
20220128,4583,458,456,448,453,453,448,True
20220207,4539,453,453,448,453,453,448,True
20220208,4556,455,454,452,454,454,452,True
20220209,4534,453,464,453,453,453,453,False
20220210,4583,458,463,458,463,463,458,True
20220211,4593,459,451,451,451,1,1,False
20220214,4556,455,451,450,450,1,1,False
20220215,4582,458,450,449,449,1,1,False
20220216,4571,457,450,450,450,1,1,False
20220217,4597,459,448,448,448,1,1,False
20220218,4590,459,448,447,447,1,1,False
20220221,4535,453,445,444,444,1,1,False
20220222,4590,459,443,443,443,1,1,False
20220223,4548,454,442,442,442,1,1,False
20220224,4607,460,441,441,441,1,1,False
20220225,4580,458,441,441,441,1,1,False
20220228,4599,459,443,442,442,1,1,False
20220301,4585,458,440,439,439,1,1,False
20220302,4583,458,440,440,440,1,1,False
20220303,4561,456,439,439,439,1,1,False
20220304,4592,459,439,438,438,1,1,False
20220307,4585,458,441,439,439,1,1,False
20220308,4623,462,441,440,440,1,1,False
20220309,4596,459,441,440,440,1,1,False
20220310,4553,455,439,439,439,1,1,False
20220311,4576,457,438,438,438,1,1,False
20220314,4602,460,432,432,432,1,1,False
20220315,4614,461,430,430,430,1,1,False
20220316,4512,451,430,430,430,1,1,False
20220317,4538,453,430,430,430,1,1,False
20220318,4522,452,429,429,429,1,1,False
20220321,4513,451,428,428,428,1,1,False
20220322,4552,455,424,424,424,1,1,False
20220323,4564,456,425,423,423,1,1,False
20220324,4573,457,427,424,424,1,1,False
20220325,4563,456,427,425,425,1,1,False
20220328,4578,457,422,421,421,1,1,False
20220329,4584,458,419,418,418,1,1,False
20220330,4560,456,421,419,419,1,1,False
20220331,4590,459,422,421,421,1,1,False
20220401,4564,456,423,421,421,1,1,False
20220406,4553,455,424,423,423,1,1,False
20220407,4605,460,424,421,421,1,1,False
20220408,4574,457,425,422,422,1,1,False
20220411,4588,458,422,422,422,1,1,False
20220412,4538,453,418,418,418,1,1,False
20220413,4590,459,416,416,416,1,1,False
20220414,4567,456,419,415,415,1,1,False
20220415,4605,460,424,419,419,1,1,False
20220418,4557,455,423,420,420,1,1,False
20220419,4579,457,423,420,420,1,1,False
20220420,4585,458,417,416,416,1,1,False
20220421,4611,461,413,411,411,1,1,False
20220422,4560,456,418,413,413,1,1,False
20220425,4616,461,414,0,411,1,1,False
20220426,4603,460,415,303,412,412,303,True
20220427,4507,450,424,373,413,413,372,True
20220428,4555,455,430,183,421,421,182,True
20220429,4395,439,451,328,416,416,325,True
20220505,4474,447,460,445,448,448,445,True
20220506,4541,454,433,428,429,429,428,True
20220509,4483,448,418,416,416,1,1,False
20220510,4524,452,415,413,413,1,1,False
20220511,4547,454,415,413,413,1,1,False
20220512,4561,456,413,412,412,1,1,False
20220513,4531,453,413,410,410,1,1,False
20220516,4538,453,413,411,411,1,1,False
20220517,4561,456,412,411,411,1,1,False
20220518,4531,453,416,410,410,1,1,False
20220519,4549,454,416,412,412,1,1,False
20220520,4539,453,409,408,408,1,1,False
20220523,4537,453,409,408,408,1,1,False
20220524,4600,460,410,406,406,1,1,False
20220525,4531,453,410,409,409,1,1,False
20220526,4572,457,410,406,406,1,1,False
20220527,4559,455,412,408,408,1,1,False
20220530,4546,454,406,405,405,1,1,False
20220531,4549,454,404,402,402,1,1,False
20220601,4565,456,406,403,403,1,1,False
20220602,4560,456,405,405,405,1,1,False
20220606,4557,455,399,397,397,1,1,False
20220607,4576,457,398,398,398,1,1,False
20220608,4566,456,398,396,396,1,1,False
20220609,4599,459,400,399,399,1,1,False
20220610,4543,454,399,396,396,1,1,False
20220613,4566,456,397,395,395,1,1,False
20220614,4577,457,398,398,398,1,1,False
20220615,4588,458,395,395,395,1,1,False
20220616,4578,457,395,393,393,1,1,False
20220617,4576,457,393,393,393,1,1,False
20220620,4542,454,392,391,391,1,1,False
20220621,4590,459,394,389,389,1,1,False
20220622,4566,456,393,391,391,1,1,False
20220623,4535,453,390,388,388,1,1,False
20220624,4533,453,387,387,387,1,1,False
20220627,4534,453,385,384,384,1,1,False
20220628,4511,451,386,383,383,1,1,False
20220629,4578,457,385,383,383,1,1,False
20220630,4558,455,383,382,382,1,1,False
20220701,4572,457,379,374,374,1,1,False
20220704,4552,455,377,377,377,1,1,False
20220705,4601,460,375,375,375,1,1,False
20220706,4591,459,371,371,370,1,1,False
20220707,4559,455,370,370,370,1,1,False
20220708,4576,457,372,370,370,1,1,False
20220711,4580,458,374,371,371,1,1,False
20220712,4588,458,371,369,369,1,1,False
20220713,4541,454,370,370,370,1,1,False
20220714,4571,457,367,367,367,1,1,False
20220715,4586,458,366,366,366,1,1,False
20220718,4520,452,366,364,364,1,1,False
20220719,4552,455,365,365,365,1,1,False
20220720,4545,454,365,365,365,1,1,False
20220721,4569,456,365,365,365,1,1,False
20220722,4578,457,369,365,365,1,1,False
20220725,4585,458,369,369,369,1,1,False
20220726,4558,455,366,366,366,1,1,False
20220727,4555,455,366,366,366,1,1,False
20220728,4553,455,367,366,366,1,1,False
20220729,4585,458,369,368,367,1,1,False
20220801,4553,455,367,367,367,1,1,False
20220802,4599,459,365,365,365,1,1,False
20220803,4604,460,364,364,364,1,1,False
20220804,4558,455,365,364,364,1,1,False
20220805,4590,459,365,365,365,1,1,False
20220808,4537,453,364,364,364,1,1,False
20220809,4567,456,366,364,364,1,1,False
20220810,4567,456,368,366,366,1,1,False
20220811,4573,457,368,368,368,1,1,False
20220812,4586,458,371,368,367,1,1,False
20220815,4560,456,370,370,370,1,1,False
20220816,4559,455,368,366,366,1,1,False
20220817,4567,456,367,367,367,1,1,False
20220818,4568,456,366,366,366,1,1,False
20220819,4589,458,368,366,366,1,1,False
20220822,4568,456,369,368,368,1,1,False
20220823,4572,457,369,368,368,1,1,False
20220824,4615,461,369,368,368,1,1,False
20220825,4582,458,368,367,367,1,1,False
20220826,4605,460,367,367,367,1,1,False
20220829,4586,458,366,365,365,1,1,False
20220830,4604,460,365,365,365,1,1,False
20220831,4616,461,366,364,364,1,1,False
20220901,4605,460,366,366,366,1,1,False
20220902,4587,458,365,364,364,1,1,False
20220905,4589,458,364,364,364,1,1,False
20220906,4583,458,365,365,365,1,1,False
20220907,4585,458,365,365,365,1,1,False
20220908,4599,459,364,364,364,1,1,False
20220909,4602,460,365,364,364,1,1,False
20220913,4590,459,366,366,366,1,1,False
20220914,4611,461,369,366,366,1,1,False
20220915,4613,461,371,369,369,1,1,False
20220916,4626,462,370,368,368,1,1,False
20220919,4614,461,368,368,368,1,1,False
20220920,4585,458,367,367,367,1,1,False
20220921,4609,460,367,365,365,1,1,False
20220922,4614,461,367,367,367,1,1,False
20220923,4625,462,367,366,366,1,1,False
20220926,4609,460,367,366,366,1,1,False
20220927,4571,457,366,366,366,1,1,False
20220928,4611,461,368,365,365,1,1,False
20220929,4622,462,369,367,367,1,1,False
20220930,4608,460,370,369,369,1,1,False
20221010,4617,461,368,367,367,1,1,False
20221011,4596,459,368,368,368,1,1,False
20221012,4564,456,370,368,368,1,1,False
20221013,4573,457,369,369,369,1,1,False
20221014,4549,454,370,368,367,1,1,False
20221017,4562,456,370,370,370,1,1,False
20221018,4577,457,370,370,370,1,1,False
20221019,4597,459,370,368,368,1,1,False
20221020,4601,460,368,368,368,1,1,False
20221021,4598,459,368,368,367,1,1,False
20221024,4616,461,367,367,367,1,1,False
20221025,4593,459,370,368,368,1,1,False
20221026,4569,456,372,370,370,1,1,False
20221027,4599,459,369,369,369,1,1,False
20221028,4627,462,369,367,367,1,1,False
20221031,4575,457,371,370,369,1,1,False
20221101,4567,456,370,369,369,1,1,False
20221102,4563,456,372,369,369,1,1,False
20221103,4600,460,369,369,369,1,1,False
20221104,4572,457,367,367,367,1,1,False
20221107,4577,457,366,366,366,1,1,False
20221108,4599,459,371,369,369,1,1,False
20221109,4594,459,371,370,370,1,1,False
20221110,4585,458,367,367,367,1,1,False
20221111,4585,458,368,366,366,1,1,False
20221114,4575,457,368,367,367,1,1,False
20221115,4554,455,368,367,367,1,1,False
20221116,4595,459,370,368,368,1,1,False
20221117,4578,457,372,370,370,1,1,False
20221118,4599,459,371,371,371,1,1,False
20221121,4593,459,369,368,368,1,1,False
20221122,4604,460,369,368,368,1,1,False
20221123,4604,460,367,367,367,1,1,False
20221124,4596,459,365,365,365,1,1,False
20221125,4605,460,366,365,365,1,1,False
20221128,4591,459,364,364,364,1,1,False
20221129,4539,453,363,363,362,1,1,False
20221130,4576,457,363,363,363,1,1,False
20221201,4588,458,364,363,363,1,1,False
20221202,4576,457,367,364,364,1,1,False
20221205,4580,458,367,367,367,1,1,False
20221206,4597,459,367,367,367,1,1,False
20221207,4592,459,368,367,367,1,1,False
20221208,4596,459,369,367,367,1,1,False
20221209,4606,460,370,369,369,1,1,False
20221212,4602,460,366,366,366,1,1,False
20221213,4586,458,367,366,366,1,1,False
20221214,4594,459,367,367,367,1,1,False
20221215,4611,461,367,367,367,1,1,False
20221216,4610,461,371,366,366,1,1,False
20221219,4620,462,372,370,370,1,1,False
20221220,4616,461,376,370,370,1,1,False
20221221,4617,461,377,375,375,1,1,False
20221222,4615,461,368,368,368,1,1,False
20221223,4609,460,370,367,367,1,1,False
20221226,4584,458,369,369,369,1,1,False
20221227,4600,460,370,367,367,1,1,False
20221228,4614,461,370,370,370,1,1,False
20221229,4604,460,370,367,367,1,1,False
20221230,4600,460,370,369,369,1,1,False
