experiment,fold,target,model,feature_set,ic_mean,ic_std,icir,ic_positive_ratio,annual_excess,top1_annual_ret,mean_turnover,final_score,diagnostic_turnover,missing_top_fraction,top_rows,missing_top_rows
E000,F1,raw,identity,ret_1_only,,,0,0.053719008264462811,-0.61076059573231112,-0.74188881279708085,0.9191055863114338,,0.9235384714308299,0.0008405563941034517,110641,93
E001,F1,raw,ridge_v1,Basic40,0.075073207648752915,0.091782201273878927,0.8179495218766194,0.7975206611570248,0.2490629604761965,0.11793474341142664,0.83356863381519664,0.15467758105780113,0.83412749357145077,0.045462351207960883,110641,5030
E002,F1,raw,lightgbm_reg_v1,Basic40,0.075665598119855765,0.079114065553320539,0.95641144960322377,0.82644628099173556,0.45241005585629301,0.32128183879152328,0.23089957217573576,0.39671938435210946,0.84740145870255457,0.85605697706998307,110641,94715
E003,F1,raw,lightgbm_reg_v1,Full147,0.096034651688126346,0.10565362087132479,0.90895750563141264,0.80578512396694213,0.51195284807872798,0.38082463101395814,0.64714608854069933,0.29785588853665912,0.87185064364324305,0.54593685884979348,110641,60403
E004,F1,rank,lightgbm_reg_v1,Full147,0.12369300679840138,0.11871017047145571,1.041974805588741,0.86776859504132231,0.52453705406420903,0.39340883699943913,0.82064050864796434,0.26064616634423393,0.82939032463194762,0.0010122829692428665,110641,112
E005,F1,relative,lightgbm_reg_v1,Full147,0.10096580864497637,0.10588133118214817,0.95357517248517021,0.83884297520661155,0.51991094866647525,0.38878273160170546,0.68401691989980229,0.29115453208799241,0.85250346798357934,0.48274147919848881,110641,53411
E006,F1,rank,xgboost_reg_v1,Full147,0.12479646054541133,0.11641096863139053,1.0720335206605234,0.86776859504132231,0.53225662911575733,0.40112841205098765,0.82970035756499982,0.26068546568339179,0.83913646895326233,0.00030730018709158451,110641,34
E007,F1,rank_decile,lightgbm_ranker_v1,Full147,-0.056505216631281399,0.14232994805363608,-0.39700159667020879,0.34297520661157027,-0.42309098048296262,-0.55421919754773252,0.17230391283301802,0.098779445352693229,0.59190143670277251,0.86326949322583857,110641,95513
E000,F2,raw,identity,ret_1_only,,,0,0.10330578512396695,-0.42143254824325738,-0.40200931092314013,0.91309374643691987,,0.91592373787379466,0.0005295089029293509,111424,59
E001,F2,raw,ridge_v1,Basic40,0.054577785434656884,0.099249140781770828,0.54990688085313111,0.72314049586776863,0.073756615901943059,0.093179853222060433,0.84509378395290446,0.090429963758574344,0.84893095531867502,0.00602204192992533,111424,671
