run_id,experiment_id,timestamp,git_commit,data_version,feature_spec_version,protocol_version,feature_set,n_features,target,model,params_json,seed,fold_id,train_start,train_end,valid_start,valid_end,train_rows,valid_rows,rank_ic_mean,rank_ic_std,icir,ic_positive_ratio,annualized_top_excess_return,mean_turnover,final_score,top1_annualized_absolute_return,top1_bottom1_annualized_spread,train_time_sec,peak_memory_gb,notes,dropped_all_nan_features_json
B2_E000_F1_20260915T074448Z,E000,2026-09-15T07:44:48.935913+00:00,8fe4454bcd06d90e7dd38546a53716eeb529df8e,sha256:6f27670167a0b305ebde0d303a272a0a3215def354c15cc316d287f1444540e2,1.0.1,1.0.1,ret_1_only,1,raw,identity,{},42,F1,20180102,20211230,20220104,20221230,3568878,1125300,-0.02963140700061333,0.13366079211321275,-0.2216910922951517,0.371900826446281,-0.6113445770598852,0.9234349528162725,-0.17228642176309264,-0.7409248456491538,-0.31275722466236927,0.0,1.1364402770996094,PROVISIONAL pdf_provisional_v1; purge=[20211231]; valid rows include missing labels; supervised_fit_rows=0; artifacts=outputs/baselines/E000/F1,[]
B2_E000_F2_20260915T074459Z,E000,2026-09-15T07:44:59.004101+00:00,8fe4454bcd06d90e7dd38546a53716eeb529df8e,sha256:6f27670167a0b305ebde0d303a272a0a3215def354c15cc316d287f1444540e2,1.0.1,1.0.1,ret_1_only,1,raw,identity,{},42,F2,20180102,20221229,20230103,20231229,4597785,1125300,-0.02369915964387072,0.13627651375607072,-0.17390494510515017,0.39669421487603307,-0.4234453470505119,0.9158716339150811,-0.11127475814722618,-0.40184856906353145,-0.09754901618077409,0.0,1.1439628601074219,PROVISIONAL pdf_provisional_v1; purge=[20221230]; valid rows include missing labels; supervised_fit_rows=0; artifacts=outputs/baselines/E000/F2,[]
B2_E000_F3_20260915T074509Z,E000,2026-09-15T07:45:09.165377+00:00,8fe4454bcd06d90e7dd38546a53716eeb529df8e,sha256:6f27670167a0b305ebde0d303a272a0a3215def354c15cc316d287f1444540e2,1.0.1,1.0.1,ret_1_only,1,raw,identity,{},42,F3,20180102,20231228,20240102,20241231,5659954,1125300,0.013491038330950101,0.2038295884196154,0.0661878309010597,0.5371900826446281,-0.44448931172111017,0.9189706001735639,-0.1036415582360222,-0.45675629825124303,0.3405573773802283,0.0,1.1515731811523438,PROVISIONAL pdf_provisional_v1; purge=[20231229]; valid rows include missing labels; supervised_fit_rows=0; artifacts=outputs/baselines/E000/F3,[]
B2_E001_F1_20260915T074553Z,E001,2026-09-15T07:45:53.755492+00:00,8fe4454bcd06d90e7dd38546a53716eeb529df8e,sha256:6f27670167a0b305ebde0d303a272a0a3215def354c15cc316d287f1444540e2,1.0.1,1.0.1,Basic40,40,raw,ridge_v1,"{""alpha"": 10.0, ""copy_X"": true, ""fit_intercept"": true, ""max_iter"": null, ""positive"": false, ""random_state"": null, ""solver"": ""auto"", ""tol"": 0.0001}",42,F1,20180102,20211230,20220104,20221230,3568878,1125300,0.07507321295317132,0.09159240452817625,0.8196445255466223,0.7975206611570248,0.249461065221155,0.8296682055203312,0.1559671430915157,0.11833284815638478,1.544884958319988,1.1963055999985954,4.654331207275391,PROVISIONAL pdf_provisional_v1; purge=[20211231]; valid rows include missing labels; supervised_fit_rows=3568878; artifacts=outputs/baselines/E001/F1,[]
B2_E001_F2_20260915T074638Z,E001,2026-09-15T07:46:38.876347+00:00,8fe4454bcd06d90e7dd38546a53716eeb529df8e,sha256:6f27670167a0b305ebde0d303a272a0a3215def354c15cc316d287f1444540e2,1.0.1,1.0.1,Basic40,40,raw,ridge_v1,"{""alpha"": 10.0, ""copy_X"": true, ""fit_intercept"": true, ""max_iter"": null, ""positive"": false, ""random_state"": null, ""solver"": ""auto"", ""tol"": 0.0001}",42,F2,20180102,20221229,20230103,20231229,4597785,1125300,0.05457783462342518,0.0990439051819508,0.5510468768690184,0.7231404958677686,0.07385831216847835,0.8446636439096045,0.09058953432703223,0.0932815494885954,0.7959962058655012,1.4781100000000151,5.589115142822266,PROVISIONAL pdf_provisional_v1; purge=[20221230]; valid rows include missing labels; supervised_fit_rows=4597785; artifacts=outputs/baselines/E001/F2,[]
B2_E001_F3_20260915T074736Z,E001,2026-09-15T07:47:36.028206+00:00,8fe4454bcd06d90e7dd38546a53716eeb529df8e,sha256:6f27670167a0b305ebde0d303a272a0a3215def354c15cc316d287f1444540e2,1.0.1,1.0.1,Basic40,40,raw,ridge_v1,"{""alpha"": 10.0, ""copy_X"": true, ""fit_intercept"": true, ""max_iter"": null, ""positive"": false, ""random_state"": null, ""solver"": ""auto"", ""tol"": 0.0001}",42,F3,20180102,20231228,20240102,20241231,5659954,1125300,0.06638269232803835,0.14394214304545916,0.46117621235549944,0.6652892561983471,0.1069730573154358,0.8513632473328013,0.10323601992600567,0.09292840631513866,1.469875425165398,2.3328440000004775,4.303077697753906,PROVISIONAL pdf_provisional_v1; purge=[20231229]; valid rows include missing labels; supervised_fit_rows=5659954; artifacts=outputs/baselines/E001/F3,[]
B2_E002_F1_20260915T075126Z,E002,2026-09-15T07:51:26.343619+00:00,e94b3a5a3c61002ad2c70ed0840cc3e38a795ab5,sha256:6f27670167a0b305ebde0d303a272a0a3215def354c15cc316d287f1444540e2,1.0.1,1.0.1,Basic40,40,raw,lightgbm_reg_v1,"{""boosting_type"": ""gbdt"", ""class_weight"": null, ""colsample_bytree"": 0.8, ""importance_type"": ""split"", ""learning_rate"": 0.03, ""max_depth"": -1, ""min_child_samples"": 1000, ""min_child_weight"": 0.001, ""min_split_gain"": 0.0, ""n_estimators"": 800, ""n_jobs"": -1, ""num_leaves"": 63, ""objective"": ""regression"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8, ""subsample_for_bin"": 200000, ""subsample_freq"": 1, ""verbosity"": -1}",42,F1,20180102,20211230,20220104,20221230,3568878,1125300,0.07566561205222526,0.07895046889465697,0.9583934473294304,0.8264462809917356,0.45388486593621147,0.22929017511112268,0.3976446520684167,0.32275664887144134,1.8201432307770584,64.77589399999852,3.923511505126953,PROVISIONAL pdf_provisional_v1; purge=[20211231]; valid rows include missing labels; supervised_fit_rows=3568878; artifacts=outputs/baselines/E002/F1,[]
B2_E002_F2_20260915T075252Z,E002,2026-09-15T07:52:52.197337+00:00,e94b3a5a3c61002ad2c70ed0840cc3e38a795ab5,sha256:6f27670167a0b305ebde0d303a272a0a3215def354c15cc316d287f1444540e2,1.0.1,1.0.1,Basic40,40,raw,lightgbm_reg_v1,"{""boosting_type"": ""gbdt"", ""class_weight"": null, ""colsample_bytree"": 0.8, ""importance_type"": ""split"", ""learning_rate"": 0.03, ""max_depth"": -1, ""min_child_samples"": 1000, ""min_child_weight"": 0.001, ""min_split_gain"": 0.0, ""n_estimators"": 800, ""n_jobs"": -1, ""num_leaves"": 63, ""objective"": ""regression"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8, ""subsample_for_bin"": 200000, ""subsample_freq"": 1, ""verbosity"": -1}",42,F2,20180102,20221229,20230103,20231229,4597785,1125300,0.03773336479516209,0.07959527482854,0.4740653873794059,0.6983471074380165,0.1855479129933082,0.4856702912293189,0.2250566324472616,0.20497115031342525,1.0715223198927764,69.09998750000159,4.758216857910156,PROVISIONAL pdf_provisional_v1; purge=[20221230]; valid rows include missing labels; supervised_fit_rows=4597785; artifacts=outputs/baselines/E002/F2,[]
B2_E002_F3_20260915T075434Z,E002,2026-09-15T07:54:34.662823+00:00,e94b3a5a3c61002ad2c70ed0840cc3e38a795ab5,sha256:6f27670167a0b305ebde0d303a272a0a3215def354c15cc316d287f1444540e2,1.0.1,1.0.1,Basic40,40,raw,lightgbm_reg_v1,"{""boosting_type"": ""gbdt"", ""class_weight"": null, ""colsample_bytree"": 0.8, ""importance_type"": ""split"", ""learning_rate"": 0.03, ""max_depth"": -1, ""min_child_samples"": 1000, ""min_child_weight"": 0.001, ""min_split_gain"": 0.0, ""n_estimators"": 800, ""n_jobs"": -1, ""num_leaves"": 63, ""objective"": ""regression"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8, ""subsample_for_bin"": 200000, ""subsample_freq"": 1, ""verbosity"": -1}",42,F3,20180102,20231228,20240102,20241231,5659954,1125300,0.08622511854016104,0.13231788559600505,0.6516512726285913,0.7520661157024794,0.44498509051078206,0.7213843360486594,0.25157027375470126,0.43094043951048483,2.1311072766503396,83.98701269999947,5.335422515869141,PROVISIONAL pdf_provisional_v1; purge=[20231229]; valid rows include missing labels; supervised_fit_rows=5659954; artifacts=outputs/baselines/E002/F3,[]
E003_F1_20260915T084618Z,E003,2026-09-15T08:46:18.703747+00:00,161e86e36e83554446830198c7c08ecbccd9ee19,sha256:6f27670167a0b305ebde0d303a272a0a3215def354c15cc316d287f1444540e2,1.0.1,1.0.1,Full147,147,raw,lightgbm_reg_v1,"{""boosting_type"": ""gbdt"", ""class_weight"": null, ""colsample_bytree"": 0.8, ""importance_type"": ""split"", ""learning_rate"": 0.03, ""max_depth"": -1, ""min_child_samples"": 1000, ""min_child_weight"": 0.001, ""min_split_gain"": 0.0, ""n_estimators"": 800, ""n_jobs"": -1, ""num_leaves"": 63, ""objective"": ""regression"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8, ""subsample_for_bin"": 200000, ""subsample_freq"": 1, ""verbosity"": -1}",42,F1,20180102,20211230,20220104,20221230,3568878,1125300,0.09603465168812635,0.1056536208713248,0.9089575056314126,0.8057851239669421,0.511952848078728,0.6471460885406993,0.2978558885366591,0.38082463101395814,2.0360871467187183,173.3211654000006,8.171070098876953,Official original-script validation replay; IC std ddof=1; frozen ddof=0 separately in auxiliary; spread is auxiliary floor-group convention; missing-y turnover effect preserved,[]
