experiment,fold,variant,alpha,exit_fraction,ic_mean,annual_excess,mean_turnover,final_score,diagnostic_turnover,missing_top_fraction,top_rows,weight_e005,turnover_gap
fusion,F1,grid,0.29999999999999999,0.25,0.10263400348132974,0.3673322612597254,0.21293649529652572,0.38737233118149184,0.28242184689960542,0.00031633842788839582,110641,0,0.069485351603079698
fusion,F2,grid,0.29999999999999999,0.25,0.088442233486496435,0.16938105576237367,0.22112099179529898,0.31985491258472099,0.26936228501539661,0.00015257036186099943,111424,0,0.048241293220097625
fusion,F1,grid,0.29999999999999999,0.25,0.10041609218940303,0.37029714780989886,0.21895465697065786,0.38556918412753349,0.28784515282251188,0.00051517972541824462,110641,0.25,0.068890495851854028
fusion,F2,grid,0.29999999999999999,0.25,0.085320549730180772,0.17339227947404318,0.22772535325359969,0.31782829775820537,0.27490497183282575,0.00029616599655370477,111424,0.25,0.047179618579226063
fusion,F1,grid,0.29999999999999999,0.25,0.095450255901083081,0.36573173402012343,0.22773893586749436,0.37957794180622195,0.29576332594910071,0.00079536519011939519,110641,0.5,0.068024390081606351
fusion,F2,grid,0.29999999999999999,0.25,0.079068030688628943,0.18020413460124926,0.23666983452635132,0.31468750229792097,0.28388138020223186,0.00056540781160252724,111424,0.5,0.04721154567588054
fusion,F1,grid,0.29999999999999999,0.25,0.087914813137938461,0.35817313842956683,0.27271730857171156,0.36080267421253193,0.36508551006061096,0.09664590884030333,110641,0.75,0.092368201488899404
fusion,F2,grid,0.29999999999999999,0.25,0.070137180872287971,0.20540792048045733,0.21172821062114988,0.32615878530670739,0.39311291308845769,0.31692454049396901,111424,0.75,0.18138470246730781
fusion,F1,grid,0.29999999999999999,0.25,0.078450569874492102,0.35897324713433704,0.14567191957587045,0.39537062621733682,0.46592525620990433,0.6115996782386276,110641,1,0.32025333663403388
fusion,F2,grid,0.29999999999999999,0.25,0.058937820803345441,0.18568136310893832,0.13883212623438981,0.33762989938370269,0.45853723807218583,0.55380348937392299,111424,1,0.31970511183779604
fusion,F3,robustness,0.29999999999999999,0.25,0.10295071195388264,0.28959909810765777,0.19830031406191193,0.36856991999527677,0.22293891254150469,0.00019028116307095674,110363,0,0.024638598479592766
fusion,F3,robustness,0.29999999999999999,0.25,0.10308825851478431,0.29802567063826046,0.19260355783413463,0.37286193724715144,0.21609017501051411,0.00028995224848907698,110363,0.25,0.023486617176379482
fusion,F3,robustness,0.29999999999999999,0.25,0.10106211351085301,0.31337571902712086,0.19105408859908823,0.37712133453275098,0.21574183680112771,0.00037150131837662985,110363,0.5,0.024687748202039478
fusion,F3,robustness,0.29999999999999999,0.25,0.096704696156685921,0.33584657883940228,0.20098681110280206,0.37913980878365444,0.22532465986322028,0.00084267372217137993,110363,0.75,0.024337848760418224
fusion,F3,robustness,0.29999999999999999,0.25,0.090561483247805621,0.3736444192181434,0.22291113255220565,0.38144457929890357,0.24835888295061231,0.007475331406359015,110363,1,0.02544775039840666
