region,family,feature_count,F1_mean_residual_ic,F2_mean_residual_ic,F3_mean_residual_ic,F1_median_residual_ic,F2_median_residual_ic,F3_median_residual_ic,mean_residual_ic,median_residual_ic,mean_absolute_residual_ic,mean_absolute_d0_prediction_ic,same_direction_feature_count,stable_meaningful_feature_count,stable_features
full,amount,11,0.127651910,0.116220063,0.126056868,0.136487620,0.101512521,0.123012478,0.123309614,0.127609412,0.123309614,0.205491069,11,11,"amtratio_60, logamt_std_20, logamt_std_5, amtchg_20, amtratio_20"
full,cross_section_rank,31,0.118682155,0.086468030,0.120022539,0.135172466,0.093312411,0.140921329,0.108390908,0.122495853,0.119790677,0.200111347,26,26,"klen__csr_d0, klow__csr_d0, csr_stdret_20, stdret_60__csr_d0, volratio_60__csr_d0"
full,kbar,12,0.092607452,0.119337965,0.096620229,0.123766909,0.171335955,0.121244192,0.102855216,0.138782352,0.132256446,0.207418938,12,12,"klen, klow, ksft2, ksft, kmid"
full,limit,10,0.024997482,0.016827514,0.022717418,0.046748380,0.031696295,0.036939975,0.021514138,0.041153826,0.062782730,0.115351375,10,10,"days_since_limit_up, limit_up_count_60, limit_up_count_20, limit_down_count_60, days_since_limit_down"
full,liquidity,4,-0.081561457,-0.031492618,-0.132268283,-0.083406160,-0.031054086,-0.131755392,-0.081774119,-0.082071879,0.081774119,0.140930420,4,4,"illiq_1, illiq_5, illiq_20, illiq_60"
full,market,10,,,,,,,,,,,0,0,
full,relative,8,0.116428546,0.087051698,0.113413566,0.138927371,0.092369527,0.150086592,0.105631270,0.131767818,0.123146929,0.203860872,8,8,"relstd_20, relret_1, relret_5, relamtratio_20, relvolratio_20"
full,return,10,0.098206943,0.058646518,0.101341824,0.128225514,0.022895398,0.136600310,0.086065095,0.101888705,0.097668388,0.160203804,8,8,"ret_1, ret_2, ret_5, ret_3, ret_20"
full,trend,31,0.103856069,0.033522805,0.114267274,0.116992726,0.022364112,0.132058051,0.083882049,0.087973961,0.091616331,0.153069768,20,20,"distmin_5, distmin_20, distmin_60, emadev_5, madev_3"
full,volatility,20,0.154963274,0.213156745,0.154361156,0.163179955,0.217369674,0.160175879,0.174160391,0.181213360,0.174160391,0.291655812,20,20,"gkvol_5, parkinson_5, gkvol_10, atr_5, parkinson_10"
full,volume,11,0.124191791,0.117194589,0.117395072,0.130772676,0.107318760,0.118008835,0.119593817,0.122492006,0.119593817,0.198900537,11,11,"volratio_60, logvol_std_20, volchg_20, logvol_std_5, volratio_20"
full,volume_price,4,0.156477462,0.113613345,0.151943673,0.156454883,0.114339262,0.152051736,0.140678160,0.141588462,0.140678160,0.231144877,4,4,"corr_ret_dlogamt_20, corr_ret_dlogamt_5, corr_ret_dlogvol_5, corr_ret_dlogvol_20"
middle60,amount,11,0.044249665,0.037003588,0.038784383,0.048140479,0.030838498,0.037962165,0.040012545,0.039413247,0.040012545,0.094969625,11,11,"logamt_std_20, logamt_std_5, amtratio_60, amtchg_20, logamt_std_60"
middle60,cross_section_rank,31,0.044353635,0.026482080,0.048955327,0.047478706,0.025239555,0.052354968,0.039930347,0.039668828,0.043638405,0.111347802,21,21,"klen__csr_d0, klow__csr_d0, csr_stdret_20, kmid__csr_d0, stdret_60__csr_d0"
middle60,kbar,12,0.036702810,0.047203086,0.049728060,0.050442776,0.072417268,0.057782683,0.044544652,0.062443231,0.054210758,0.122331360,12,12,"ksft, ksft2, klen, klow, kmid"
