region,feature,family,F1,F2,F3,mean_residual_ic,median_residual_ic,same_direction_3of3,at_least_2_folds_abs_ic_ge_0_01,stable_meaningful,abs_mean_residual_ic,mean_d0_prediction_ic
full,amtratio_60,amount,0.185221472,0.119677972,0.196850314,0.167249919,0.185221472,True,True,True,0.167249919,-0.287050397
full,logamt_std_20,amount,0.151530941,0.176263267,0.159255142,0.162349783,0.159255142,True,True,True,0.162349783,-0.263400813
full,logamt_std_5,amount,0.143631453,0.151993045,0.151685965,0.149103488,0.151685965,True,True,True,0.149103488,-0.236843932
full,amtchg_20,amount,0.156391725,0.116001597,0.163349767,0.145247696,0.156391725,True,True,True,0.145247696,-0.245242108
full,amtratio_20,amount,0.143189011,0.100676736,0.154009453,0.132625067,0.143189011,True,True,True,0.132625067,-0.227664376
full,logamt_std_60,amount,0.119023051,0.150586683,0.113218501,0.127609412,0.119023051,True,True,True,0.127609412,-0.208023974
full,amtchg_5,amount,0.136487620,0.101512521,0.122707585,0.120235909,0.122707585,True,True,True,0.120235909,-0.198969947
full,amtratio_10,amount,0.127270628,0.100944154,0.123012478,0.117075753,0.123012478,True,True,True,0.117075753,-0.197425570
full,amtratio_5,amount,0.100560768,0.093326706,0.092156940,0.095348138,0.093326706,True,True,True,0.095348138,-0.159898444
full,amtratio_3,amount,0.080755605,0.091052688,0.067660472,0.079822922,0.080755605,True,True,True,0.079822922,-0.134912732
full,amtchg_1,amount,0.060108737,0.076385327,0.042718928,0.059737664,0.060108737,True,True,True,0.059737664,-0.100969462
full,klen__csr_d0,cross_section_rank,0.200888749,0.249592965,0.186303420,0.212261711,0.200888749,True,True,True,0.212261711,-0.359391955
full,klow__csr_d0,cross_section_rank,0.190220778,0.230181543,0.199763685,0.206722002,0.199763685,True,True,True,0.206722002,-0.327770992
full,csr_stdret_20,cross_section_rank,0.175215802,0.220021793,0.160624805,0.185287467,0.175215802,True,True,True,0.185287467,-0.306434510
full,stdret_60__csr_d0,cross_section_rank,0.155872536,0.207726060,0.140135303,0.167911300,0.155872536,True,True,True,0.167911300,-0.277305928
full,volratio_60__csr_d0,cross_section_rank,0.182265518,0.130572478,0.187257529,0.166698508,0.182265518,True,True,True,0.166698508,-0.284426859
full,kmid__csr_d0,cross_section_rank,0.150498758,0.188181185,0.159540567,0.166073503,0.159540567,True,True,True,0.166073503,-0.251579140
full,csr_stdret_5,cross_section_rank,0.150831984,0.199019388,0.142339317,0.164063563,0.150831984,True,True,True,0.164063563,-0.279631895
full,csr_madev_5,cross_section_rank,0.152072466,0.119620224,0.155334463,0.142342384,0.152072466,True,True,True,0.142342384,-0.218297181
full,csr_ret_1,cross_section_rank,0.127382126,0.167838614,0.125988608,0.140403116,0.127382126,True,True,True,0.140403116,-0.203887779
full,corr_ret_dlogvol_20__csr_d0,cross_section_rank,0.154836713,0.108389813,0.149217573,0.137481366,0.149217573,True,True,True,0.137481366,-0.228608749
full,ret_2__csr_d0,cross_section_rank,0.127665980,0.133227332,0.142673026,0.134522113,0.133227332,True,True,True,0.134522113,-0.203538433
full,csr_ret_5,cross_section_rank,0.160967288,0.084062319,0.154886785,0.133305464,0.154886785,True,True,True,0.133305464,-0.209953053
