region,family,fold,true_y_ic,d0_prediction_ic,d0_true_y_ic,partial_true_y_ic_given_d0
full,volatility,F1,-0.058583672,-0.264727829,0.126057670,-0.023416849
full,volatility,F2,-0.063709003,-0.355103655,0.105668030,-0.030413997
full,volatility,F3,-0.049075437,-0.255135950,0.123664322,-0.014441663
full,volume_price,F1,-0.042158001,-0.247843893,0.126262252,-0.011025497
full,volume_price,F2,-0.038182722,-0.193862086,0.105977074,-0.018337127
full,volume_price,F3,-0.045226839,-0.251728652,0.124191275,-0.014618553
middle60,volatility,F1,-0.030056712,-0.180878929,0.053892963,-0.019191092
middle60,volatility,F2,-0.032718209,-0.228712020,0.043934422,-0.023914756
middle60,volatility,F3,-0.015518981,-0.143803545,0.046243629,-0.008520629
middle60,volume_price,F1,-0.015653656,-0.140081117,0.053901849,-0.008263600
middle60,volume_price,F2,-0.018272953,-0.097606993,0.043973039,-0.014068119
middle60,volume_price,F3,-0.019470346,-0.137927483,0.046273972,-0.013326283
top20,volatility,F1,-0.000137575,0.114950576,0.052539374,-0.005244384
top20,volatility,F2,-0.019468064,0.069654679,0.044772983,-0.022275190
top20,volatility,F3,0.024991111,0.039505530,0.060446231,0.022640751
top20,volume_price,F1,0.000483123,-0.012064750,0.053125903,0.001703771
top20,volume_price,F2,-0.002974106,0.015256002,0.045166549,-0.002902316
top20,volume_price,F3,-0.005754815,-0.031596449,0.061280117,-0.001809236
