fold,region,family,feature,true_y_ic,d0_prediction_ic,d0_true_y_ic,partial_true_y_ic_given_d0,finite_days
F1,full,volatility,stdret_5,-0.057521456,-0.258378102,0.126543700,-0.023206213,242
F1,full,volatility,stdret_10,-0.061717280,-0.278665438,0.126343039,-0.025022222,242
F1,full,volatility,stdret_20,-0.061033556,-0.292649476,0.125979658,-0.021203622,242
F1,full,volatility,stdret_60,-0.055607531,-0.261131477,0.125231445,-0.020848815,242
F1,full,volatility,downvol_5,-0.016448047,-0.044698090,0.126543700,-0.009933483,242
F1,full,volatility,downvol_10,-0.036071373,-0.130849642,0.126343039,-0.018062470,242
F1,full,volatility,downvol_20,-0.039764967,-0.167440636,0.125979658,-0.016713397,242
F1,full,volatility,downvol_60,-0.043258457,-0.183858355,0.125231445,-0.019148279,242
F1,full,volatility,parkinson_5,-0.074053975,-0.348399227,0.126775076,-0.029014666,242
F1,full,volatility,parkinson_10,-0.071694405,-0.333070861,0.126356283,-0.028213114,242
F1,full,volatility,parkinson_20,-0.069443038,-0.320933937,0.125975575,-0.026413261,242
F1,full,volatility,parkinson_60,-0.058967566,-0.267408745,0.125323003,-0.023335185,242
F1,full,volatility,gkvol_5,-0.077350733,-0.366740926,0.126775076,-0.029733105,242
F1,full,volatility,gkvol_10,-0.073562843,-0.344640831,0.126356283,-0.028349975,242
F1,full,volatility,gkvol_20,-0.070982122,-0.326099260,0.125975575,-0.027220434,242
F1,full,volatility,gkvol_60,-0.059266734,-0.267876743,0.125323003,-0.023543149,242
F1,full,volatility,atr_5,-0.072008011,-0.333082308,0.126543700,-0.028576311,242
F1,full,volatility,atr_10,-0.067985570,-0.308142048,0.126343039,-0.027254144,242
F1,full,volatility,atr_20,-0.062797896,-0.278957281,0.125979658,-0.024772755,242
F1,full,volatility,atr_60,-0.042137877,-0.181533206,0.125231445,-0.017772376,242
F1,full,volume_price,corr_ret_dlogvol_5,-0.040065922,-0.246029160,0.126544847,-0.009727145,242
F1,full,volume_price,corr_ret_dlogvol_20,-0.043488852,-0.246381479,0.125979658,-0.012060529,242
F1,full,volume_price,corr_ret_dlogamt_5,-0.040304664,-0.246885547,0.126544847,-0.009831138,242
F1,full,volume_price,corr_ret_dlogamt_20,-0.044772563,-0.252079384,0.125979658,-0.012483178,242
F1,top20,volatility,stdret_5,0.009820452,0.148154234,0.054003519,0.002407314,242
F1,top20,volatility,stdret_10,0.012269092,0.148589319,0.053202809,0.005528404,242
F1,top20,volatility,stdret_20,0.010626313,0.132916177,0.052251528,0.004650931,242
F1,top20,volatility,stdret_60,0.002774381,0.109035134,0.050451364,-0.001881805,242
F1,top20,volatility,downvol_5,-0.004544997,0.087519852,0.054003519,-0.008893995,242
F1,top20,volatility,downvol_10,-0.005115360,0.086625749,0.053202809,-0.008938814,242
F1,top20,volatility,downvol_20,-0.006028306,0.087231965,0.052251528,-0.010018704,242
F1,top20,volatility,downvol_60,-0.008190732,0.077916533,0.050451364,-0.011631699,242
F1,top20,volatility,parkinson_5,0.002450135,0.144819480,0.054250684,-0.004296412,242
F1,top20,volatility,parkinson_10,0.003261244,0.137518714,0.053346693,-0.002717545,242
F1,top20,volatility,parkinson_20,0.001951109,0.122274120,0.052296617,-0.003274271,242
F1,top20,volatility,parkinson_60,-0.004099972,0.099091314,0.050635919,-0.008161541,242
F1,top20,volatility,gkvol_5,-0.001053710,0.125389471,0.054250684,-0.006611226,242
F1,top20,volatility,gkvol_10,0.001318454,0.123325004,0.053346693,-0.003948567,242
F1,top20,volatility,gkvol_20,-0.000217538,0.111834092,0.052296617,-0.004910978,242
F1,top20,volatility,gkvol_60,-0.006104401,0.094109632,0.050635919,-0.009880500,242
F1,top20,volatility,atr_5,0.006056396,0.156839579,0.054003519,-0.001359585,242
F1,top20,volatility,atr_10,0.002062242,0.137035637,0.053202809,-0.004017486,242
F1,top20,volatility,atr_20,-0.003574876,0.109555627,0.052251528,-0.008284590,242
F1,top20,volatility,atr_60,-0.016411428,0.059229888,0.050451364,-0.018646614,242
F1,top20,volume_price,corr_ret_dlogvol_5,-0.001037544,-0.015844413,0.054000279,0.000308623,242
F1,top20,volume_price,corr_ret_dlogvol_20,0.001726122,-0.014332143,0.052251528,0.003105934,242
F1,top20,volume_price,corr_ret_dlogamt_5,-0.000770928,-0.010377521,0.054000279,0.000286836,242
F1,top20,volume_price,corr_ret_dlogamt_20,0.002014841,-0.007704923,0.052251528,0.003113691,242
F1,middle60,volatility,stdret_5,-0.027612803,-0.158791561,0.053846697,-0.017647166,242
F1,middle60,volatility,stdret_10,-0.030638968,-0.179989049,0.053930241,-0.020042807,242
F1,middle60,volatility,stdret_20,-0.028114104,-0.198195767,0.053956704,-0.015903716,242
F1,middle60,volatility,stdret_60,-0.026870229,-0.181094616,0.053815275,-0.015973227,242
F1,middle60,volatility,downvol_5,-0.010642271,-0.033143112,0.053846697,-0.007979620,242
F1,middle60,volatility,downvol_10,-0.020963383,-0.085585080,0.053930241,-0.015268600,242
F1,middle60,volatility,downvol_20,-0.019835725,-0.110923557,0.053956704,-0.012703378,242
F1,middle60,volatility,downvol_60,-0.022497496,-0.125052959,0.053815275,-0.014890101,242
F1,middle60,volatility,parkinson_5,-0.035713263,-0.229487679,0.053846642,-0.022403297,242
F1,middle60,volatility,parkinson_10,-0.036158605,-0.226067524,0.053933141,-0.023063104,242
F1,middle60,volatility,parkinson_20,-0.035755874,-0.225296702,0.053951660,-0.022293552,242
F1,middle60,volatility,parkinson_60,-0.030828521,-0.191072833,0.053874813,-0.019401782,242
F1,middle60,volatility,gkvol_5,-0.037603222,-0.241302746,0.053846642,-0.023491553,242
F1,middle60,volatility,gkvol_10,-0.037300591,-0.234258982,0.053933141,-0.023574318,242
F1,middle60,volatility,gkvol_20,-0.037327961,-0.229264113,0.053951660,-0.023606576,242
F1,middle60,volatility,gkvol_60,-0.031422850,-0.192633795,0.053874813,-0.019909350,242
F1,middle60,volatility,atr_5,-0.035942005,-0.221392012,0.053846697,-0.023075754,242
F1,middle60,volatility,atr_10,-0.035878851,-0.213014948,0.053930241,-0.023424029,242
F1,middle60,volatility,atr_20,-0.034505078,-0.200671517,0.053956704,-0.022274949,242
F1,middle60,volatility,atr_60,-0.025522434,-0.140340036,0.053815275,-0.016894962,242
F1,middle60,volume_price,corr_ret_dlogvol_5,-0.013650686,-0.137384723,0.053846994,-0.006647577,242
F1,middle60,volume_price,corr_ret_dlogvol_20,-0.017117019,-0.139707635,0.053956704,-0.009535020,242
F1,middle60,volume_price,corr_ret_dlogamt_5,-0.013980502,-0.138704198,0.053846994,-0.006880698,242
F1,middle60,volume_price,corr_ret_dlogamt_20,-0.017866419,-0.144527912,0.053956704,-0.009991104,242
F2,full,volatility,stdret_5,-0.061873021,-0.334390596,0.106407976,-0.029555553,242
F2,full,volatility,stdret_10,-0.065073187,-0.357974296,0.106025041,-0.030827693,242
F2,full,volatility,stdret_20,-0.063559411,-0.363152470,0.105541903,-0.029127952,242
F2,full,volatility,stdret_60,-0.060588237,-0.343845506,0.104621111,-0.028284969,242
F2,full,volatility,downvol_5,-0.031795773,-0.178017402,0.106407976,-0.014831063,242
F2,full,volatility,downvol_10,-0.038273832,-0.289154488,0.106025041,-0.009344228,242
F2,full,volatility,downvol_20,-0.044674978,-0.318673384,0.105541903,-0.013065146,242
F2,full,volatility,downvol_60,-0.052111484,-0.329929212,0.104621111,-0.020186246,242
F2,full,volatility,parkinson_5,-0.079261132,-0.409527923,0.106535523,-0.042236982,242
F2,full,volatility,parkinson_10,-0.075292045,-0.396742015,0.106070554,-0.038882785,242
F2,full,volatility,parkinson_20,-0.070409935,-0.385449063,0.105524754,-0.034680883,242
F2,full,volatility,parkinson_60,-0.062899552,-0.353956526,0.104655427,-0.029846215,242
F2,full,volatility,gkvol_5,-0.082137173,-0.416066795,0.106535523,-0.044351616,242
F2,full,volatility,gkvol_10,-0.077756550,-0.397888703,0.106070554,-0.041312543,242
F2,full,volatility,gkvol_20,-0.071984565,-0.384378225,0.105524754,-0.036325723,242
F2,full,volatility,gkvol_60,-0.063090275,-0.352309849,0.104655427,-0.030112156,242
F2,full,volatility,atr_5,-0.079361155,-0.401043993,0.106407976,-0.043428554,242
F2,full,volatility,atr_10,-0.074046431,-0.385621971,0.106025041,-0.038798361,242
F2,full,volatility,atr_20,-0.066180136,-0.370569483,0.105541903,-0.031463782,242
F2,full,volatility,atr_60,-0.053811188,-0.333381205,0.104621111,-0.021617481,242
F2,full,volume_price,corr_ret_dlogvol_5,-0.035066755,-0.193003221,0.106412245,-0.014882592,242
F2,full,volume_price,corr_ret_dlogvol_20,-0.040233239,-0.188518935,0.105541903,-0.021308516,242
F2,full,volume_price,corr_ret_dlogamt_5,-0.035647350,-0.196716079,0.106412245,-0.015129749,242
F2,full,volume_price,corr_ret_dlogamt_20,-0.041783543,-0.197210108,0.105541903,-0.022027650,242
F2,top20,volatility,stdret_5,-0.008530749,0.106011991,0.045528080,-0.012719672,242
F2,top20,volatility,stdret_10,-0.010722993,0.103759869,0.045274898,-0.014805750,242
F2,top20,volatility,stdret_20,-0.013036788,0.088901919,0.044799845,-0.016333202,242
F2,top20,volatility,stdret_60,-0.017602196,0.048979559,0.043451157,-0.019124282,242
F2,top20,volatility,downvol_5,-0.016139850,0.060272755,0.045528080,-0.019072104,242
F2,top20,volatility,downvol_10,-0.007486452,0.038236557,0.045274898,-0.009159541,242
F2,top20,volatility,downvol_20,-0.012862020,0.023317067,0.044799845,-0.013645745,242
F2,top20,volatility,downvol_60,-0.019113043,0.008650998,0.043451157,-0.019224553,242
F2,top20,volatility,parkinson_5,-0.026845925,0.102707854,0.045532118,-0.031273965,242
F2,top20,volatility,parkinson_10,-0.022333330,0.096519656,0.045293617,-0.026442514,242
F2,top20,volatility,parkinson_20,-0.020514834,0.080621714,0.044834429,-0.023865504,242
F2,top20,volatility,parkinson_60,-0.022036686,0.045600690,0.043488698,-0.023497186,242
F2,top20,volatility,gkvol_5,-0.029430691,0.092658898,0.045532118,-0.033307158,242
F2,top20,volatility,gkvol_10,-0.024709295,0.090568398,0.045293617,-0.028585977,242
F2,top20,volatility,gkvol_20,-0.022157791,0.076641344,0.044834429,-0.025376406,242
F2,top20,volatility,gkvol_60,-0.022829121,0.043580214,0.043488698,-0.024189064,242
F2,top20,volatility,atr_5,-0.023486206,0.109809624,0.045528080,-0.028251961,242
F2,top20,volatility,atr_10,-0.021758505,0.095969249,0.045274898,-0.025956802,242
F2,top20,volatility,atr_20,-0.021529343,0.068869629,0.044799845,-0.024393494,242
F2,top20,volatility,atr_60,-0.026235461,0.011415584,0.043451157,-0.026278925,242
F2,top20,volume_price,corr_ret_dlogvol_5,0.000748041,-0.006250749,0.045533254,0.001493332,242
F2,top20,volume_price,corr_ret_dlogvol_20,-0.006884331,0.032426919,0.044799845,-0.007308989,242
F2,top20,volume_price,corr_ret_dlogamt_5,0.001184478,-0.002429018,0.045533254,0.001765739,242
F2,top20,volume_price,corr_ret_dlogamt_20,-0.006944614,0.037276859,0.044799845,-0.007559348,242
F2,middle60,volatility,stdret_5,-0.030334147,-0.201555136,0.043982769,-0.022369083,242
F2,middle60,volatility,stdret_10,-0.031077733,-0.226404974,0.044008671,-0.022090928,242
F2,middle60,volatility,stdret_20,-0.029308483,-0.233320754,0.043964085,-0.020054013,242
F2,middle60,volatility,stdret_60,-0.030705924,-0.218515613,0.043748878,-0.022191396,242
F2,middle60,volatility,downvol_5,-0.015951771,-0.112513117,0.043982769,-0.011344868,242
F2,middle60,volatility,downvol_10,-0.010788057,-0.185790895,0.044008671,-0.003043645,242
F2,middle60,volatility,downvol_20,-0.016221200,-0.202391887,0.043964085,-0.007899845,242
F2,middle60,volatility,downvol_60,-0.025816447,-0.208683088,0.043748878,-0.017676817,242
F2,middle60,volatility,parkinson_5,-0.043939200,-0.262955929,0.044009182,-0.034468596,242
F2,middle60,volatility,parkinson_10,-0.040326510,-0.257874031,0.044069866,-0.030605675,242
F2,middle60,volatility,parkinson_20,-0.036015228,-0.252557857,0.043949628,-0.026281538,242
F2,middle60,volatility,parkinson_60,-0.033720344,-0.230364049,0.043758943,-0.024942947,242
F2,middle60,volatility,gkvol_5,-0.046797159,-0.264420395,0.044009182,-0.037074363,242
F2,middle60,volatility,gkvol_10,-0.043482102,-0.256562862,0.044069866,-0.033781893,242
F2,middle60,volatility,gkvol_20,-0.038257988,-0.251114755,0.043949628,-0.028539323,242
F2,middle60,volatility,gkvol_60,-0.034290337,-0.229708370,0.043758943,-0.025504920,242
F2,middle60,volatility,atr_5,-0.043787161,-0.257762323,0.043982769,-0.034532280,242
F2,middle60,volatility,atr_10,-0.039966024,-0.253104959,0.044008671,-0.030476371,242
F2,middle60,volatility,atr_20,-0.034406860,-0.246793492,0.043964085,-0.024872280,242
F2,middle60,volatility,atr_60,-0.029171497,-0.221845906,0.043748878,-0.020544331,242
F2,middle60,volume_price,corr_ret_dlogvol_5,-0.016175447,-0.093649874,0.043981992,-0.012157395,242
F2,middle60,volume_price,corr_ret_dlogvol_20,-0.019867190,-0.097566458,0.043964085,-0.015638512,242
F2,middle60,volume_price,corr_ret_dlogamt_5,-0.016506460,-0.096175108,0.043981992,-0.012399766,242
F2,middle60,volume_price,corr_ret_dlogamt_20,-0.020542715,-0.103036531,0.043964085,-0.016076804,242
F3,full,volatility,stdret_5,-0.054197279,-0.246126987,0.124987070,-0.022033494,242
F3,full,volatility,stdret_10,-0.052638212,-0.267339291,0.124342273,-0.018298571,242
F3,full,volatility,stdret_20,-0.048143369,-0.263501583,0.123393636,-0.012910509,242
F3,full,volatility,stdret_60,-0.039278020,-0.226940801,0.121761197,-0.006442875,242
F3,full,volatility,downvol_5,-0.038155758,-0.067783892,0.124987070,-0.028317206,242
F3,full,volatility,downvol_10,-0.031183854,-0.142126661,0.124342273,-0.010673866,242
F3,full,volatility,downvol_20,-0.032164795,-0.164952740,0.123393636,-0.007658247,242
F3,full,volatility,downvol_60,-0.028686148,-0.171966272,0.121761197,-0.002974831,242
F3,full,volatility,parkinson_5,-0.067984405,-0.343978173,0.125247445,-0.023343994,242
F3,full,volatility,parkinson_10,-0.062162976,-0.325314700,0.124441144,-0.019799129,242
F3,full,volatility,parkinson_20,-0.053245768,-0.298419228,0.123462108,-0.013078418,242
F3,full,volatility,parkinson_60,-0.041775744,-0.242016440,0.121766266,-0.006649525,242
F3,full,volatility,gkvol_5,-0.068008589,-0.362453277,0.125247445,-0.021229670,242
F3,full,volatility,gkvol_10,-0.061569689,-0.338304741,0.124441144,-0.017628488,242
F3,full,volatility,gkvol_20,-0.053212198,-0.307338243,0.123462108,-0.011994778,242
F3,full,volatility,gkvol_60,-0.041884243,-0.246322365,0.121766266,-0.006372767,242
F3,full,volatility,atr_5,-0.069905595,-0.337070591,0.124987070,-0.026536215,242
F3,full,volatility,atr_10,-0.060840747,-0.308010933,0.124342273,-0.020542485,242
F3,full,volatility,atr_20,-0.048388139,-0.265810844,0.123393636,-0.011525834,242
F3,full,volatility,atr_60,-0.028083214,-0.176941245,0.121761197,-0.000822350,242
F3,full,volume_price,corr_ret_dlogvol_5,-0.041686585,-0.248446437,0.124988914,-0.011822132,242
F3,full,volume_price,corr_ret_dlogvol_20,-0.047984813,-0.250925833,0.123393636,-0.017243512,242
F3,full,volume_price,corr_ret_dlogamt_5,-0.042600524,-0.249105897,0.124988914,-0.012639592,242
F3,full,volume_price,corr_ret_dlogamt_20,-0.048635433,-0.258436441,0.123393636,-0.016768978,242
F3,top20,volatility,stdret_5,0.023659392,0.078737538,0.062030123,0.017479676,242
F3,top20,volatility,stdret_10,0.030596359,0.077065537,0.061033696,0.025158653,242
F3,top20,volatility,stdret_20,0.040342340,0.062893649,0.060533894,0.036581015,242
F3,top20,volatility,stdret_60,0.035091928,0.044577474,0.058058570,0.032092875,242
